gender,uti_ratio,limit,mortgage_payment,n_overdue,n_cards,overdue
M,0.12,2000,926,0,0,0
M,0.29,2000,0,1,0,1
M,0.9,2000,747,3,3,1
M,0.87,2000,1811,13,1,1
M,0.8,2000,0,1,7,0
M,1.02,2000,0,4,5,0
M,0.77,2000,0,2,0,0
M,0.03,2000,979,0,9,1
M,1.01,2000,0,0,11,0
M,1.03,2000,0,6,1,0
M,0.09,2000,0,2,2,1
M,0.81,2000,0,3,7,1
M,0.99,2000,0,0,6,0
M,0.99,2000,0,2,10,0
M,1.24,2000,3451,2,16,0
M,1.01,2000,0,4,11,1
M,0.52,2000,0,2,2,1
M,1.02,2000,0,2,4,1
M,1.14,2000,0,1,3,0
M,0.97,2000,0,4,8,1
M,0.94,2000,0,3,4,1
M,0.93,2000,0,6,5,1
M,0.21,2000,0,0,0,0
M,0.19,2000,0,1,0,0
M,0.45,2000,0,0,6,0
M,1,2000,0,0,9,1
M,0.45,2000,0,0,9,0
M,0.04,2000,0,0,5,0
M,0.44,2000,0,9,1,1
M,0.63,2000,0,10,5,0
M,1.01,2000,0,0,7,0
M,0.97,2000,0,0,0,0
M,1.31,2000,0,1,14,1
M,1.3,2000,0,0,35,0
M,0,2000,0,3,9,0
M,0,2000,0,0,0,0
M,0.99,2000,0,2,6,1
M,0.53,2000,0,3,2,0
M,1.01,2000,0,14,13,0
M,0.92,2000,0,3,7,1
M,0.94,2000,0,0,5,0
M,0.76,2000,3133,1,5,0
M,0.02,2000,0,0,0,1
M,1.02,2000,0,0,0,0
M,0.71,2000,0,0,2,0
M,1.01,2000,0,3,7,0
M,1,2000,0,2,4,0
M,0.82,2000,0,1,0,0
M,1.01,2000,0,0,7,0
M,1.33,2000,0,1,2,1
M,0.12,2000,0,1,0,1
M,1.08,2000,0,2,11,1
M,1.01,2000,0,0,13,0
M,0.57,2000,1661,0,5,0
M,0.78,2000,0,1,0,0
M,0.75,2000,0,0,8,0
M,0.33,2000,0,1,0,1
M,0.08,2000,0,1,6,0
M,0.98,2000,0,3,0,0
M,0,2200,0,1,0,0
M,0.65,2300,0,5,2,0
M,1,2400,0,1,6,0
M,1,2400,0,0,15,1
M,1.01,2400,0,0,14,1
M,1.22,2400,854,4,14,0
M,0.54,2500,0,0,7,0
M,0.82,2500,0,0,1,0
M,1.01,2500,0,0,38,0
M,0.63,2500,0,3,4,1
M,0.99,2500,0,0,6,0
M,1,2500,18193,0,3,0
M,1,2500,2385,0,6,1
M,1.16,2500,0,5,13,1
M,1,2500,0,2,14,1
M,0.08,2500,0,0,5,0
M,1.02,2500,0,0,8,1
M,1,2500,0,1,6,0
M,0.1,2500,0,0,5,0
M,0.23,2500,0,0,2,0
M,1.48,2500,0,0,10,1
M,0.99,2500,0,2,7,1
M,0.71,2500,0,1,9,0
M,0.97,2500,0,2,13,1
M,0.78,2500,0,8,6,1
M,1.02,2500,0,0,13,0
M,0.34,2500,65,0,3,0
M,0.53,2500,0,2,7,0
M,1.1,2500,0,7,7,1
M,0.21,2500,0,4,0,0
M,0.78,2500,0,3,5,1
M,0.5,2500,0,4,3,0
M,1.96,2600,626,2,1,1
M,0.96,2600,0,0,0,0
M,0.98,2600,0,0,5,0
M,0.98,2600,0,0,4,0
M,0.99,2800,0,0,13,1
M,1.1,2800,0,0,12,1
M,1,2800,2013,0,0,0
M,1.89,2800,0,0,7,1
M,0.71,3000,0,0,0,0
M,0.97,3000,0,0,0,0
M,1.01,3000,0,0,18,0
M,0.8,3000,0,0,2,0
M,0.33,3000,6176,0,3,0
M,0.27,3000,0,0,16,0
M,1,3000,0,5,0,0
M,0.31,3000,0,0,7,1
M,0.67,3000,0,10,0,0
M,0.04,3000,0,0,2,0
M,1.01,3000,0,0,1,0
M,1,3000,0,1,4,1
M,1.03,3000,0,11,4,1
M,0.8,3000,0,11,0,0
M,0,3000,0,0,1,0
M,1.03,3000,0,7,1,0
M,0,3000,0,0,0,0
M,0.26,3000,0,0,0,0
M,0.03,3000,0,0,2,0
M,0.06,3000,0,0,1,0
M,1.01,3000,0,5,0,0
M,0.89,3000,0,0,2,0
M,0.07,3000,0,0,0,0
M,1.01,3000,0,3,1,0
M,1,3000,0,2,0,0
M,0.01,3000,0,3,5,0
M,1,3000,0,0,14,0
M,0.79,3000,0,0,9,1
M,1,3000,0,5,0,0
M,0.75,3000,9742,1,1,0
M,1.03,3000,0,1,2,1
M,0.89,3000,0,5,0,0
M,1.06,3000,0,17,10,1
M,0.03,3000,0,1,0,0
M,0.2,3000,0,4,0,0
M,1,3000,0,2,2,1
M,0.97,3000,0,3,0,0
M,1.01,3000,0,2,0,0
M,0.93,3000,0,2,0,0
M,1,3000,0,3,23,0
M,0,3000,0,0,0,0
M,0.79,3000,0,13,0,1
M,1.02,3000,0,1,7,0
M,0.86,3000,0,5,4,0
M,0.33,3000,0,1,0,0
M,1,3000,0,0,0,0
M,0.98,3000,0,0,0,0
M,1,3000,0,2,3,0
M,0,3000,1195,0,3,0
M,1,3000,0,4,3,1
M,1.02,3000,0,10,6,0
M,1.01,3000,0,0,3,1
M,0.81,3000,0,8,0,1
M,1.01,3000,0,1,7,1
M,0,3000,0,2,0,0
M,1.02,3000,0,5,1,0
M,0.07,3000,0,0,1,0
M,1,3000,1893,0,1,0
M,0.57,3000,0,3,0,0
M,0.32,3000,0,4,4,0
M,0.42,3000,0,0,16,1
M,0.89,3000,0,0,2,1
M,0.97,3000,0,4,0,1
M,0.39,3000,0,0,7,0
